"-394/199"
"-390/199"
"-386/199"
"-382/199"
"-378/199"
"-374/199"
"-370/199"
"-366/199"
"-362/199"
"-358/199"
"-354/199"
"-350/199"
"-346/199"
"-342/199"
"-338/199"
"-334/199"
"-330/199"
"-326/199"
"-322/199"
"-318/199"
"-314/199"
"-310/199"
"-306/199"
"-302/199"
"-298/199"
"-294/199"
"-290/199"
"-286/199"
"-282/199"
"-278/199"
"-274/199"
"-270/199"
"-266/199"
"-262/199"
"-258/199"
"-254/199"
"-250/199"
"-246/199"
"-242/199"
"-238/199"
"-234/199"
"-230/199"
"-226/199"
"-222/199"
"-218/199"
"-214/199"
"-210/199"
"-206/199"
"-202/199"
"-198/199"
"-194/199"
"-190/199"
"-186/199"
"-182/199"
"-178/199"
"-174/199"
"-170/199"
"-166/199"
"-162/199"
"-158/199"
"-154/199"
"-150/199"
"-146/199"
"-142/199"
"-138/199"
"-134/199"
"-130/199"
"-126/199"
"-122/199"
"-118/199"
"-114/199"
"-110/199"
"-106/199"
"-102/199"
"-98/199"
"-94/199"
"-90/199"
"-86/199"
"-82/199"
"-78/199"
"-74/199"
"-70/199"
"-66/199"
"-62/199"
"-58/199"
"-54/199"
"-50/199"
"-46/199"
"-42/199"
"-38/199"
"-34/199"
"-30/199"
"-26/199"
"-22/199"
"-18/199"
"-14/199"
"-10/199"
"-6/199"
"-2/199"
"2/199"
"6/199"
"10/199"
"14/199"
"18/199"
"22/199"
"26/199"
"30/199"
"34/199"
"38/199"
"42/199"
"46/199"
"50/199"
"54/199"
"58/199"
"62/199"
"66/199"
"70/199"
"74/199"
"78/199"
"82/199"
"86/199"
"90/199"
"94/199"
"98/199"
"102/199"
"106/199"
"110/199"
"114/199"
"118/199"
"122/199"
"126/199"
"130/199"
"134/199"
"138/199"
"142/199"
"146/199"
"150/199"
"154/199"
"158/199"
"162/199"
"166/199"
"170/199"
"174/199"
"178/199"
"182/199"
"186/199"
"190/199"
"194/199"
"198/199"
"202/199"
"206/199"
"210/199"
"214/199"
"218/199"
"222/199"
"226/199"
"230/199"
"234/199"
"238/199"
"242/199"
"246/199"
"250/199"
"254/199"
"258/199"
"262/199"
"266/199"
"270/199"
"274/199"
"278/199"
"282/199"
"286/199"
"290/199"
"294/199"
"298/199"
"302/199"
"306/199"
"310/199"
"314/199"
"318/199"
"322/199"
"326/199"
"330/199"
"334/199"
"338/199"
"342/199"
"346/199"
"350/199"
"354/199"
"358/199"
"362/199"
"366/199"
"370/199"
"374/199"
"378/199"
"382/199"
"386/199"
"390/199"
"394/199"
2
